id_dmc,hex_code,family_dmc,family_new,name_dmc,name_maxx,updated_dt
159,#c7cad7,blue,blue,Stormy Sky,Blue Gray Light,5/7/2026
160,#999fb7,blue,purple,Stormy Blue,Blue Gray Medium,5/7/2026
161,#7880a4,blue,purple,Blue Ash,Blue Gray,5/7/2026
162,#dbecf5,blue,purple,Blue Water,Blue Ultra Very Light,5/7/2026
28,#9086a9,blue,purple,Lavender Gray,Eggplant Medium Light,5/7/2026
311,#1c5066,blue,blue,Dark Polar Blue,Wedgewood Ultra Very Dark,5/7/2026
312,#35668b,blue,blue,Midnight Blue,Baby Blue Very Dark,5/7/2026
322,#5a8fb8,blue,blue,Delft Blue,Baby Blue Dark,5/7/2026
3325,#b8d2e6,blue,blue,Arctic Blue,Baby Blue Light,5/7/2026
334,#739fc1,blue,blue,Light Indigo,Baby Blue Medium,5/7/2026
336,#253b73,blue,blue,Indigo Blue,Navy Blue,5/7/2026
3750,#384c5e,blue,blue,Dark Petrol Blue,Antique Blue Very Dark,5/7/2026
3752,#c7d1db,blue,grey,Light Porcelain Blue,Antique Blue Very Light,5/7/2026
3753,#dbe2e9,blue,grey,Moonlight Blue,Antique Blue Ultra Very Light,5/7/2026
3755,#93b4ce,blue,blue,Pastel Blue,Baby Blue,5/7/2026
3760,#3e85a2,blue,blue,Fjord Blue,Wedgewood Medium,5/7/2026
3761,#acd8e2,blue,blue,Aquamarine Blue,Sky Blue Light,5/7/2026
3765,#347f8c,blue,blue,Blue Teal,Peacock Blue Very Dark,5/7/2026
3766,#99cfd9,blue,blue,Blue Green,Peacock Blue Light,5/7/2026
3768,#657f7f,blue,grey,Storm,Gray Green Dark,5/7/2026
3799,#424242,blue,grey,Anthracite,Pewter Gray Very Dark,5/7/2026
3807,#60678c,blue,blue,Tanzanite,Cornflower Blue,5/7/2026
3808,#366970,blue,blue,Mallard,Turquoise Ultra Very Dark,5/7/2026
3809,#3f7c85,blue,blue,Sea Cave,Turquoise Vy Dark,5/7/2026
3810,#488e9a,blue,blue,Persian Blue,Turquoise Dark,5/7/2026
3811,#bce3e6,blue,blue,Blue Waterfall,Turquoise Very Light,5/7/2026
3838,#5c7294,blue,blue,Thistle Blue,Lavender Blue Dark,5/7/2026
3839,#7b8eab,blue,blue,Mediterranean Blue,Lavender Blue Medium,5/7/2026
3841,#cddfed,blue,blue,Igloo Blue,Baby Blue Pale,5/7/2026
3843,#14aad0,blue,blue,Metallic Pool Blue,Electric Blue,5/7/2026
3844,#12aeba,blue,blue,Lagoon,Turquoise Bright Dark,5/7/2026
3845,#04c4ca,blue,blue,Turquoise,Turquoise Bright Medium,5/7/2026
3846,#06e3e6,blue,blue,Navajo blue,Turquoise Bright Light,5/7/2026
500,#044d33,blue,green,Ivy,Blue Green Very Dark,5/7/2026
517,#3b768f,blue,blue,Nautical Blue,Wedgewood Dark,5/7/2026
518,#4f93a7,blue,blue,Nattier Blue,Wedgewood Light,5/7/2026
519,#7eb1c8,blue,blue,Bluish Spray,Sky Blue,5/7/2026
597,#5ba3b3,blue,blue,Pack Ice Blue,Turquoise,5/7/2026
598,#90c3cc,blue,blue,Pale Lagoon,Turquoise Light,5/7/2026
747,#e5fcfd,blue,blue,Pearlescent Blue Sea Mist,Peacock Blue Very Light,5/7/2026
775,#d9ebf1,blue,blue,Blue Summer Rain,Baby Blue Very Light,5/7/2026
791,#464563,blue,blue,Lapis,Cornflower Blue Very Dark,5/7/2026
792,#555b7b,blue,blue,China Blue,Cornflower Blue Dark,5/7/2026
793,#707da2,blue,blue,Deep Ocean,Cornflower Blue Medium,5/7/2026
794,#8f9cc1,blue,blue,Baby Blue,Cornflower Blue Light,5/7/2026
796,#11416d,blue,blue,Sévres Blue,Royal Blue Dark,5/7/2026
797,#13477d,blue,blue,French Blue,Royal Blue,5/7/2026
798,#466a8e,blue,blue,Cobalt Blue,Delft Blue Dark,5/7/2026
799,#748eb6,blue,blue,Horizon Blue,Delft Blue Medium,5/7/2026
800,#c0ccde,blue,blue,Sky Blue,Delft Blue Pale,5/7/2026
809,#94a8c6,blue,blue,Soft Blue,Delft Blue,5/7/2026
813,#a1c2d7,blue,blue,Gallic Blue,Blue Light,5/7/2026
820,#0e365c,blue,blue,Royal Blue,Royal Blue Very Dark,5/7/2026
824,#396987,blue,blue,Marine Blue,Blue Very Dark,5/7/2026
826,#6b9ebf,blue,blue,Tuareg Blue,Blue Medium,5/7/2026
827,#bddded,blue,blue,Forget-Me-Knot,Blue Very Light,5/7/2026
930,#455c71,blue,blue,Slate grey,Antique Blue Dark,5/7/2026
932,#a2b5c6,blue,blue,Blue Gull,Antique Blue Light,5/7/2026
995,#2696b6,blue,blue,Plunge pool,Electric Blue Dark,5/7/2026
996,#30c2ec,blue,blue,Electric Blue,Electric Blue Medium,5/7/2026
806,#3d95a5,blue,blue,806,Peacock Blue Dark,5/7/2026
13,#bff6e0,green,green,Spearmint,Nile Green Medium Light,5/7/2026
15,#d1eda4,green,green,Spring Onion,Apple Green,5/7/2026
16,#c9c258,green,green,Sprout,Chartreuse Light,5/7/2026
163,#4d8361,green,green,Eucalyptus,Celadon Green Medium,5/7/2026
3011,#898a58,green,green,Deep Olive,Khaki Green Dark,5/7/2026
3012,#a6a75d,green,green,Dried Moss,Khaki Green Medium,5/7/2026
3013,#b9b982,green,green,Green Oyster,Khaki Green Light,5/7/2026
3051,#5f6648,green,green,Forest Green,Green Gray Dark,5/7/2026
319,#205f2e,green,green,Shaded Green,Pistachio Grn Very Dark,5/7/2026
320,#69885a,green,green,Fern,Pistachio Green Medium,5/7/2026
3345,#1b5915,green,green,Spinach,Hunter Green Dark,5/7/2026
3346,#406a3a,green,green,Artichoke,Hunter Green,5/7/2026
3347,#71935c,green,green,Asparagus,Yellow Green Medium,5/7/2026
3348,#ccd9b1,green,green,Scallion,Yellow Green Light,5/7/2026
3362,#5e6b47,green,green,Conifer,Pine Green Dark,5/7/2026
3363,#728256,green,green,Bullfrog,Pine Green Medium,5/7/2026
3364,#83975f,green,green,Sage,Pine Green,5/7/2026
367,#617a52,green,green,Laurel,Pistachio Green Dark,5/7/2026
368,#a6c298,green,green,Eau de Nile,Pistachio Green Light,5/7/2026
369,#d7edcc,green,green,Bamboo Shoot Green,Pistachio Green Very Light,5/7/2026
3781,#6b5743,green,green,Wrought Iron,Mocha Brown Dark,5/7/2026
3787,#625d50,green,grey,grey Wolf,Brown Gray Dark,5/7/2026
3812,#2f8c84,green,green,Viridian,Sea Green Very Dark,5/7/2026
3813,#b2d4bd,green,green,Lichen Green,Blue Green Light,5/7/2026
3814,#508b7d,green,green,Spruce,Aquamarine,5/7/2026
3815,#477759,green,green,Almond Green,Celadon Green Dark,5/7/2026
3817,#99c3aa,green,green,Poplar,Celadon Green Light,5/7/2026
3818,#115a3b,green,green,Broccoli,Emerald Green Ultra Very Dark,5/7/2026
3847,#347d75,green,green,Chinese Green,Teal Green Dark,5/7/2026
3848,#559392,green,green,Mermaid’s Tail,Teal Green Medium,5/7/2026
3849,#52b3a4,green,green,Metallic Turquoise Green,Teal Green Light,5/7/2026
3851,#49b3a1,green,green,Emerald Shard,Green Bright Light,5/7/2026
469,#72843c,green,green,Golden Moss Green,Avocado Green,5/7/2026
470,#94ab4f,green,green,Olive Green,Avocado Grn Light,5/7/2026
471,#aebf79,green,green,Tarragon,Avocado Grn Very Light,5/7/2026
501,#396f52,green,green,Pond Green,Blue Green Dark,5/7/2026
502,#5b9071,green,green,Almond Leaf,Blue Green,5/7/2026
503,#7bac94,green,green,Thyme Green,Blue Green Medium,5/7/2026
505,#338362,green,green,Pinewood,Jade Green,5/7/2026
520,#666d4f,green,green,Wild Wood,Fern Green Dark,5/7/2026
522,#969e7e,green,green,Lattice Green,Fern Green,5/7/2026
524,#c4cdac,green,green,Pebble Green,Fern Green Very Light,5/7/2026
561,#2c6a45,green,green,Cypress Green,Celadon Green VD,5/7/2026
562,#53976a,green,green,Malachite,Jade Medium,5/7/2026
563,#8fc098,green,green,Celedon,Jade Light,5/7/2026
580,#888d33,green,green,Cactus,Moss Green Dark,5/7/2026
581,#a7ae38,green,green,Grasshopper,Moss Green,5/7/2026
640,#857b61,green,green,grey Cobblestone,Beige Gray Very Dark,5/7/2026
642,#a49878,green,green,Umbra grey,Beige Gray Dark,5/7/2026
645,#6e655c,green,grey,Reindeer grey,Beaver Gray Very Dark,5/7/2026
646,#877d73,green,grey,Smoke grey,Beaver Gray Dark,5/7/2026
699,#056517,green,green,Metallic Candied Fruit,Green,5/7/2026
700,#07731b,green,green,Meadow Green,Green Bright,5/7/2026
701,#3f8f29,green,green,Grass,Green Light,5/7/2026
702,#47a72f,green,green,Spring Lawn,Kelly Green,5/7/2026
703,#7bb547,green,green,Metallic Spring Green,Chartreuse,5/7/2026
704,#9ecf34,green,green,Lime,Chartreuse Bright,5/7/2026
730,#827b30,green,green,Khaki,Olive Green Very Dark,5/7/2026
732,#948c36,green,green,Light Bronzed Green,Olive Green,5/7/2026
733,#bcb34c,green,green,Golden Green,Olive Green Medium,5/7/2026
734,#c7c077,green,green,Broken Olive,Olive Green Light,5/7/2026
772,#e4ecd4,green,green,Celery,Yellow Green Very Light,5/7/2026
890,#174923,green,green,Black Forest,Pistachio Grn Ultra Very Dark,5/7/2026
895,#1b5300,green,green,Bottle Green,Hunter Green Very Dark,5/7/2026
904,#557822,green,green,Kale,Parrot Green Very Dark,5/7/2026
905,#628a28,green,green,Budgie Green,Parrot Green Dark,5/7/2026
906,#7fb335,green,green,Mistletoe,Parrot Green Medium,5/7/2026
907,#c7e666,green,green,Granny Smith,Parrot Green Light,5/7/2026
909,#156f49,green,green,Croquet Lawn,Emerald Green Very Dark,5/7/2026
910,#187e56,green,green,English Green,Emerald Green Dark,5/7/2026
911,#189065,green,green,Golf Green,Emerald Green Medium,5/7/2026
912,#1b9d6b,green,green,Watermint,Emerald Green Light,5/7/2026
913,#6dab77,green,green,Jade,Nile Green Medium,5/7/2026
924,#566a6a,green,grey,Tahitian Pearl,Gray Green Vy Dark,5/7/2026
926,#98aeae,green,grey,Grey Green,Gray Green Medium,5/7/2026
927,#bdcbcb,green,grey,Oyster,Gray Green Light,5/7/2026
928,#dde3e3,green,grey,Oyster Shell,Gray Green Very Light,5/7/2026
934,#313919,green,green,Seaweed,Avocado Grn Black,5/7/2026
935,#424d21,green,green,Undergrowth,Avocado Green Dark,5/7/2026
936,#4c5826,green,green,Oak Moss,Avocado Green Very Dark,5/7/2026
937,#627133,green,green,Moss,Avocado Green Medium,5/7/2026
954,#88ba91,green,green,Rice Field,Nile Green,5/7/2026
955,#a2d6ad,green,green,Pale Green,Nile Green Light,5/7/2026
958,#3eb6a1,green,green,Green Valley,Sea Green Dark,5/7/2026
959,#59c7b4,green,green,Pale Viridian,Sea Green Medium,5/7/2026
966,#b9d7c0,green,green,Pearlescent Soft Green,Jade Ultra Very Light,5/7/2026
986,#405230,green,green,Boxwood,Forest Green Very Dark,5/7/2026
987,#587141,green,green,Basil,Forest Green Dark,5/7/2026
988,#738b5b,green,green,Verbena Stem,Forest Green Medium,5/7/2026
989,#8da675,green,green,Fennel,Forest Green,5/7/2026
992,#6fae9f,green,green,Mint,Aquamarine Light,5/7/2026
993,#90c0b4,green,green,Peppermint,Aquamarine Very Light,5/7/2026
10,#edfed9,yellow,green,Lemon Sherbert,Tender Green Very Light,5/7/2026
11,#e2edb5,yellow,green,Lemon Drop,Tender Green Light,5/7/2026
165,#eff4a4,yellow,yellow,Linden Green,Moss Green Very Light,5/7/2026
166,#c0c840,yellow,green,Wormwood Green,Moss Green Medium Light,5/7/2026
307,#fded54,yellow,yellow,Lemon,Lemon,5/7/2026
3078,#fdf9cd,yellow,yellow,Buttermilk,Golden Yellow Very Light,5/7/2026
3819,#e0e868,yellow,green,Aurous Green,Moss Green Light,5/7/2026
3820,#dfb65f,yellow,yellow,Sunshine,Straw Dark,5/7/2026
3821,#f3ce75,yellow,yellow,Metallic Mango,Straw,5/7/2026
3822,#f6dc98,yellow,yellow,Corn Husk,Straw Light,5/7/2026
3823,#fffde3,yellow,yellow,Moonshine,Yellow Ultra Pale,5/7/2026
444,#ffd600,yellow,yellow,Bright Yellow,Lemon Dark,5/7/2026
472,#d8e498,yellow,green,Green Bud,Avocado Green Ultra Light,5/7/2026
727,#fff1af,yellow,yellow,Primrose,Topaz Very Light,5/7/2026
728,#e4b468,yellow,yellow,Mustard,Topaz,5/7/2026
19,#f7c95f,orange,orange,Soft Peach,Autumn Gold medium Light,5/7/2026
20,#f7af93,orange,orange,Peach,Shrimp,5/7/2026
3341,#fcab98,orange,orange,Kitten’s Nose,Apricot,5/7/2026
352,#fd9c97,orange,pink,Salmon,Coral Light,5/7/2026
3776,#cf7939,orange,orange,Nut Brittle,Mahogany Light,5/7/2026
3825,#fdbd96,orange,orange,Muted Apricot,Pumpkin Pale,5/7/2026
3827,#f7bb77,orange,orange,Coral Blush,Golden Brown Pale,5/7/2026
3852,#cd9d37,orange,orange,Metallic Glitz,Straw Very Dark,5/7/2026
3853,#f29746,orange,orange,Copper,Autumn Gold Dark,5/7/2026
3854,#f2af68,orange,orange,Chai Spice,Autumn Gold Medium,5/7/2026
3855,#fad396,orange,orange,Desert Winds,Autumn Gold Light,5/7/2026
3856,#ffd3b5,orange,orange,Buff,Mahogany Ultra Very Light,5/7/2026
402,#f7a777,orange,orange,Pottery,Mahogany Very Light,5/7/2026
676,#e5ce97,orange,orange,Savannah,Old Gold Light,5/7/2026
721,#f27842,orange,orange,Papaya,Orange Spice Medium,5/7/2026
722,#f7976f,orange,orange,Shrimp,Orange Spice Light,5/7/2026
725,#ffc840,orange,orange,Buttercup,Topaz Medium Light,5/7/2026
740,#ff8b00,orange,orange,Orange Papaya,Tangerine,5/7/2026
741,#ffa32b,orange,orange,Mandarin,Tangerine Medium,5/7/2026
742,#ffbf57,orange,orange,Clementine,Tangerine Light,5/7/2026
743,#fed376,orange,yellow,Banana,Yellow Medium,5/7/2026
744,#ffe793,orange,yellow,Grapefruit,Yellow Pale,5/7/2026
745,#ffe9ad,orange,yellow,Blonde,Yellow Pale Light,5/7/2026
783,#ce9124,orange,orange,Old Gold,Topaz Medium,5/7/2026
922,#e27323,orange,orange,Terracotta,Copper Light,5/7/2026
972,#ffb515,orange,orange,Curry,Canary Deep,5/7/2026
973,#ffe300,orange,yellow,Daffodil,Canary Bright,5/7/2026
976,#c28142,orange,orange,Nutmeg,Golden Brown Medium,5/7/2026
977,#dc9c56,orange,orange,Caramel,Golden Brown Light,5/7/2026
781,#a26d20,orange,orange,781,Topaz Very Dark,5/7/2026
971,#f67f00,orange,orange,971,Pumpkin,5/7/2026
08,#6a5046,brown,brown,Racoon,Driftwood Dark,5/7/2026
167,#a77c49,brown,brown,Praline,Yellow Beige Very Dark,5/7/2026
300,#6f2f00,brown,brown,Mahogany,Mahogany Very Dark,5/7/2026
301,#b35f2b,brown,brown,Metallic Squirrel,Mahogany Medium,5/7/2026
3032,#b39f8b,brown,brown,Stone,Mocha Brown Medium,5/7/2026
3033,#e3d8cc,brown,brown,Ashes,Mocha Brown Very Light,5/7/2026
3045,#bc966a,brown,brown,Toffee,Yellow Beige Dark,5/7/2026
3046,#d8bc9a,brown,brown,Biscuit,Yellow Beige Medium,5/7/2026
3064,#c48e70,brown,brown,Fallow,Desert Sand,5/7/2026
355,#984436,brown,brown,Red Brown,Terra Cotta Dark,5/7/2026
356,#c56a5b,brown,pink,Pink Terracotta,Terra Cotta Medium,5/7/2026
370,#b89d64,brown,brown,Herbes de Provence,Mustard Medium,5/7/2026
371,#bfa671,brown,brown,Steppe,Mustard,5/7/2026
372,#ccb784,brown,brown,Cardamom Green,Mustard Light,5/7/2026
3771,#f4bba9,brown,pink,Pink Sand,Terra Cotta Ultra Very Light,5/7/2026
3772,#a06c50,brown,brown,Glazed Chestnut,Desert Sand Very Dark,5/7/2026
3777,#863022,brown,brown,Red Leather,Terra Cotta Very Dark,5/7/2026
3790,#7f6a55,brown,brown,Tree Bark,Beige Gray Ultra Dark,5/7/2026
3826,#ad7239,brown,brown,Fox,Golden Brown,5/7/2026
3828,#b78b61,brown,brown,Oak,Hazelnut Brown,5/7/2026
3829,#a98204,brown,brown,Ochre Earth,Old Gold Vy Dark,5/7/2026
3857,#68251a,brown,brown,Oxblood,Rosewood Dark,5/7/2026
3858,#964a3f,brown,brown,Rose Brown,Rosewood Medium,5/7/2026
3859,#ba8b7c,brown,brown,Clay,Rosewood Light,5/7/2026
3860,#7d5d57,brown,brown,Dark Taupe,Cocoa,5/7/2026
3862,#8a6e4e,brown,brown,Lama,Mocha Beige Dark,5/7/2026
3864,#cbb69c,brown,brown,Vicuna Wool,Mocha Beige Light,5/7/2026
407,#bb8161,brown,brown,Fawn,Desert Sand Medium,5/7/2026
420,#a07042,brown,brown,Hazelnut,Hazelnut Brown Dark,5/7/2026
422,#c69f7b,brown,brown,Light Oak,Hazelnut Brown Light,5/7/2026
433,#7a451f,brown,brown,Chocolate,Brown Medium,5/7/2026
434,#985e33,brown,brown,Cigar Brown,Brown Light,5/7/2026
435,#b87748,brown,brown,Tobacco,Brown Very Light,5/7/2026
436,#cb9051,brown,brown,Metallic Teddy,Tan,5/7/2026
437,#e4bb8e,brown,brown,Camel,Tan Light,5/7/2026
543,#f2e3ce,brown,brown,Shell,Beige Brown Ultra Very Light,5/7/2026
610,#796047,brown,brown,Beaver,Drab Brown Dark,5/7/2026
611,#967656,brown,brown,Umber,Drab Brown,5/7/2026
612,#bc9a78,brown,brown,Jute,Drab Brown Light,5/7/2026
632,#875539,brown,brown,Cocoa,Desert Sand Ultra Very Dark,5/7/2026
677,#f5eccb,brown,brown,Metallic Sand,Old Gold Very Light,5/7/2026
680,#bc8d0e,brown,brown,Fennec,Old Gold Dark,5/7/2026
729,#d0a53e,brown,brown,Honey,Old Gold Medium,5/7/2026
738,#eccc9e,brown,brown,Sahara,Tan Very Light,5/7/2026
739,#f8e4c8,brown,brown,Dune,Tan Ultra Very Light,5/7/2026
754,#f7cbbf,brown,pink,Beige Rose,Peach Light,5/7/2026
758,#eeaa9b,brown,pink,Pink Dawn,Terra Cotta Very Light,5/7/2026
780,#94631a,brown,brown,Chestnut,Topaz Ultra Very Dark,5/7/2026
782,#ae7720,brown,brown,Wicker,Topaz Dark,5/7/2026
